date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:53	33117/33117	---M--	200	added ('OK')	image/jpeg	etag:%220527c25f27cd21:0%22	https://www.miamidade.gov/resources/images/services/pet-vaccinations.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/services/pet-vaccinations.jpg	(from https://www.miamidade.gov/global/animals/home.page)
11:02:54	563571/563571	---M--	200	added ('OK')	image/jpeg	etag:%2206cd87ae1cd31:0%22	https://www.miamidade.gov/resources/images/banners/animal-cruelty-banner.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/banners/animal-cruelty-banner.jpg	(from https://www.miamidade.gov/global/animals/home.page)
11:02:54	63191/63191	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202023%2014:27:07%20GMT	https://www.miamidade.gov/global/animals/report-animal-problems.page	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/global/animals/report-animal-problems.html	(from https://www.miamidade.gov/global/animals/home.page)
11:02:54	166210/166210	---M--	200	added ('OK')	image/jpeg	etag:%2206cd87ae1cd31:0%22	https://www.miamidade.gov/resources/images/banners/donate-now-banner.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/banners/donate-now-banner.jpg	(from https://www.miamidade.gov/global/animals/home.page)
11:02:55	64731/64731	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202023%2014:27:08%20GMT	https://www.miamidade.gov/global/animals/donations.page	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/global/animals/donations.html	(from https://www.miamidade.gov/global/animals/home.page)
11:02:55	21994/21994	---M--	200	added ('OK')	image/jpeg	etag:%22065762da078d21:0%22	https://www.miamidade.gov/resources/images/news/pow-silhouette.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/news/pow-silhouette.jpg	(from https://www.miamidade.gov/global/animals/home.page)
11:02:55	87832/87832	---M--	200	added ('OK')	image/jpeg	etag:%220db92673283d71:0%22	https://www.miamidade.gov/resources/images/news/2021-07-27-wow-mobile-unit.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/news/2021-07-27-wow-mobile-unit.jpg	(from https://www.miamidade.gov/global/animals/home.page)
11:02:56	35243/35243	---M--	200	added ('OK')	image/jpeg	etag:%220a7eceeed4ed51:0%22	https://www.miamidade.gov/resources/images/news/2019-08-09-no-kill-asd-new.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/news/2019-08-09-no-kill-asd-new.jpg	(from https://www.miamidade.gov/global/animals/home.page)
11:02:56	283065/283065	---M--	200	added ('OK')	image/jpeg	etag:%228006e4c95fed91:0%22	https://www.miamidade.gov/resources/images/news/2023-10-16-doggie-date.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/news/2023-10-16-doggie-date.jpg	(from https://www.miamidade.gov/global/animals/home.page)
11:02:57	313046/313046	---M--	200	added ('OK')	image/jpeg	etag:%228070af3f5947d31:0%22	https://www.miamidade.gov/resources/images/banners/asd-banner-volunteer.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/banners/asd-banner-volunteer.jpg	(from https://www.miamidade.gov/global/animals/home.page)
11:02:57	296940/296940	---M--	200	added ('OK')	image/jpeg	etag:%2202a9d633d0d21:0%22	https://www.miamidade.gov/resources/images/banners/animal-services.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/banners/animal-services.jpg	(from https://www.miamidade.gov/global/animals/home.page)
11:02:57	73360/73360	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202023%2014:27:11%20GMT	https://www.miamidade.gov/global/animals/contact.page	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/global/animals/contact.html	(from https://www.miamidade.gov/global/animals/home.page)
11:02:58	67997/67997	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202023%2014:27:12%20GMT	https://www.miamidade.gov/global/animals/about.page	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/global/animals/about.html	(from https://www.miamidade.gov/global/animals/home.page)
11:02:59	66384/66384	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202023%2014:27:12%20GMT	https://www.miamidade.gov/global/animals/newborn-kittens.page	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/global/animals/newborn-kittens.html	(from https://www.miamidade.gov/global/animals/home.page)
11:02:59	60294/60294	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202023%2014:27:13%20GMT	https://www.miamidade.gov/global/animals/pets-parked-cars.page	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/global/animals/pets-parked-cars.html	(from https://www.miamidade.gov/global/animals/home.page)
11:03:00	67789/67789	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202023%2014:27:13%20GMT	https://www.miamidade.gov/global/animals/pet-safety.page	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/global/animals/pet-safety.html	(from https://www.miamidade.gov/global/animals/home.page)
11:03:00	17603/17603	---M--	200	added ('OK')	image/jpeg	etag:%228091c5a06b9ed61:0%22	https://www.miamidade.gov/resources/images/departments/animals/outstanding-agency-year.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/departments/animals/outstanding-agency-year.jpg	(from https://www.miamidade.gov/global/animals/home.page)
11:03:01	4418/4418	---M--	200	added ('OK')	image/png	etag:%220f61f47b1d11:0%22	https://www.miamidade.gov/resources/images/md-logo.png	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/md-logo.png	(from https://www.miamidade.gov/global/animals/home.page)
11:03:01	62040/62040	---M--	200	added ('OK')	image/jpeg	etag:%2280ce6511636ed51:0%22	https://www.miamidade.gov/resources/global/images/govawards-overall-winner.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/global/images/govawards-overall-winner.jpg	(from https://www.miamidade.gov/global/animals/home.page)
11:03:01	18185/18185	---M--	200	added ('OK')	image/png	etag:%2203af76e9792d41:0%22	https://www.miamidade.gov/resources/global/images/beta-miamidade-gov.png	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/global/images/beta-miamidade-gov.png	(from https://www.miamidade.gov/global/animals/home.page)
11:03:03	90182/90182	---MC-	200	added ('OK')	text/javascript	date:Thu,%2002%20Nov%202023%2014:27:16%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/My%20Web%20Sites/about%20animal/translate.google.com/translate_a/elementa0d8.js	(from https://www.miamidade.gov/global/animals/home.page)
11:03:04	9070/9070	---M-Z	200	added ('OK')	text/css	etag:%22049879535f2d91:0%22	https://www.miamidade.gov/resources/css/accordion.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/accordion.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:04	9255/9255	---M-Z	200	added ('OK')	text/css	etag:%22068c9a346d81:0%22	https://www.miamidade.gov/resources/css/service-product-license.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/service-product-license.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:05	0/0	---M--	200	added ('OK')	text/css	etag:%2202b8ae3cfa2d41:0%22	https://www.miamidade.gov/resources/css/page-navigation-dropdown.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/page-navigation-dropdown.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:05	2094/2094	---MCZ	200	added ('OK')	text/css	etag:W/%2202d7cd52c6d91:0%22	https://www.miamidade.gov/resources/css/floating-bar.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/floating-bar.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:06	4534/4534	---MCZ	200	added ('OK')	text/css	etag:W/%2203448d8cbd31:0%22	https://www.miamidade.gov/resources/css/dashboard.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/dashboard.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:06	11197/11197	---M-Z	200	added ('OK')	text/css	etag:%228055f9a27a70d81:0%22	https://www.miamidade.gov/resources/css/mega-dropdown.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/mega-dropdown.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:07	4302/4302	---M-Z	200	added ('OK')	text/css	etag:%228051fea51accd31:0%22	https://www.miamidade.gov/resources/css/mobile-global.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/mobile-global.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:07	3462/3462	---M-Z	200	added ('OK')	text/css	etag:%2280e0921deeead71:0%22	https://www.miamidade.gov/resources/css/infographic.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/infographic.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:08	3554/3554	---M-Z	200	added ('OK')	text/css	etag:%2280ea565f7252d71:0%22	https://www.miamidade.gov/resources/css/graphical-feature.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/graphical-feature.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:08	2444/2444	---MCZ	200	added ('OK')	text/css	etag:W/%22800e61bc43ed81:0%22	https://www.miamidade.gov/resources/css/multi-column-enhance.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/multi-column-enhance.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:09	2981/2981	---M-Z	200	added ('OK')	text/css	etag:%228063344e1f83d71:0%22	https://www.miamidade.gov/resources/css/full-width-banner-grandient.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/full-width-banner-grandient.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:09	1421/1421	---MCZ	200	added ('OK')	text/css	etag:W/%2280de8c708f9ad71:0%22	https://www.miamidade.gov/resources/css/sign-up.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/sign-up.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:10	1630/1630	---MCZ	200	added ('OK')	text/css	etag:W/%22802668a1c5bad71:0%22	https://www.miamidade.gov/resources/css/image-enhancement.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/image-enhancement.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:10	710/710	---MCZ	200	added ('OK')	text/css	etag:W/%22053fd638763d71:0%22	https://www.miamidade.gov/resources/css/components/iframe.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/components/iframe.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:11	4289/4289	---M-Z	200	added ('OK')	text/css	etag:%220a2e98740b9d71:0%22	https://www.miamidade.gov/resources/css/components/wasd-cal-styles.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/components/wasd-cal-styles.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:11	5707/5707	---M-Z	200	added ('OK')	text/css	etag:%2280d6c0a63b7cd81:0%22	https://www.miamidade.gov/resources/css/components/timeline-styles.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/components/timeline-styles.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:12	1387/1387	---MCZ	200	added ('OK')	text/css	etag:W/%220bf7294505fd81:0%22	https://www.miamidade.gov/resources/css/biography-page.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/biography-page.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:12	1130/1130	---MCZ	200	added ('OK')	text/css	etag:W/%220e02613127cd81:0%22	https://www.miamidade.gov/resources/css/developer-templates/building-block.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/developer-templates/building-block.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:13	605/605	---MCZ	200	added ('OK')	text/css	etag:W/%2280c15671187cd81:0%22	https://www.miamidade.gov/resources/css/developer-templates/building-block-code.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/developer-templates/building-block-code.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:13	6133/6133	---M-Z	200	added ('OK')	text/css	etag:%2280d7c1756af8d91:0%22	https://www.miamidade.gov/resources/css/components/general-picker.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/components/general-picker.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:14	1890/1890	---MCZ	200	added ('OK')	text/css	etag:W/%22809714dddfefd91:0%22	https://www.miamidade.gov/resources/css/components/content.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/components/content.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:14	3814/3814	---M-Z	200	added ('OK')	text/css	etag:%2280872a597cf0d81:0%22	https://www.miamidade.gov/resources/css/print.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/print.css	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:15	6283/6283	---M--	200	added ('OK')	image/png	etag:%220f32e24611bd21:0%22	https://www.miamidade.gov/resources/images/mobile-page-navigation-bg.png	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/mobile-page-navigation-bg.png	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:15	458471/458471	---M--	200	added ('OK')	image/jpeg	etag:%22032d7b05bbd31:0%22	https://www.miamidade.gov/resources/images/banners/main-banner.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/banners/main-banner.jpg	(from https://www.miamidade.gov/resources/css/global-styles.css)
11:03:16	303498/303498	---M--	200	added ('OK')	image/jpeg	etag:%22081e08f80b2d41:0%22	https://www.miamidade.gov/resources/images/departments/animals/2019-01-22-animal-donation-page.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/departments/animals/2019-01-22-animal-donation-page.jpg	(from https://www.miamidade.gov/global/animals/donations.page)
11:03:17	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22653bc982-4d7%22	https://www.miamidade.gov/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.miamidade.gov/global/animals/contact.page)
11:03:18	112238/112238	---M--	200	added ('OK')	image/png	etag:%2203cfd520acd41:0%22	https://www.miamidade.gov/resources/images/departments/animals/2019-01-16-logo-aspca.png	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/departments/animals/2019-01-16-logo-aspca.png	(from https://www.miamidade.gov/global/animals/about.page)
11:03:19	10637/10637	---M--	200	added ('OK')	image/jpeg	etag:%2280f91beee9d61:0%22	https://www.miamidade.gov/resources/images/departments/animals/pet-smart-charities.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/departments/animals/pet-smart-charities.jpg	(from https://www.miamidade.gov/global/animals/about.page)
11:03:20	15168/15168	---M--	200	added ('OK')	image/png	etag:%220aad1b51eacd41:0%22	https://www.miamidade.gov/resources/images/departments/animals/2019-01-16-logo-petco.png	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/departments/animals/2019-01-16-logo-petco.png	(from https://www.miamidade.gov/global/animals/about.page)
11:03:21	42847/42847	---M--	200	added ('OK')	image/jpeg	etag:%2208cf9920acd41:0%22	https://www.miamidade.gov/resources/images/departments/animals/2019-01-16-logo-miami-foundation.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/departments/animals/2019-01-16-logo-miami-foundation.jpg	(from https://www.miamidade.gov/global/animals/about.page)
11:03:22	8827/8827	---M--	200	added ('OK')	image/jpeg	etag:%220dda7bf1facd41:0%22	https://www.miamidade.gov/resources/images/departments/animals/2019-01-16-logo-networkpartner-best-friends.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/departments/animals/2019-01-16-logo-networkpartner-best-friends.jpg	(from https://www.miamidade.gov/global/animals/about.page)
11:03:22	31065/31065	---M--	200	added ('OK')	image/png	etag:%2205949141cacd41:0%22	https://www.miamidade.gov/resources/images/departments/animals/2019-01-16-logo-foma.png	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/departments/animals/2019-01-16-logo-foma.png	(from https://www.miamidade.gov/global/animals/about.page)
11:03:23	4175/4175	---M--	200	added ('OK')	image/jpeg	etag:%2280725d5cf43ed81:0%22	https://www.miamidade.gov/resources/images/departments/animals/bissell-pet-logo.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/departments/animals/bissell-pet-logo.jpg	(from https://www.miamidade.gov/global/animals/about.page)
11:03:23	7632/7632	---M--	200	added ('OK')	image/jpeg	etag:%2280725d5cf43ed81:0%22	https://www.miamidade.gov/resources/images/departments/animals/farmers-dog-logo.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/departments/animals/farmers-dog-logo.jpg	(from https://www.miamidade.gov/global/animals/about.page)
11:03:24	17376/17376	---M--	200	added ('OK')	image/png	etag:%2204edef81bacd41:0%22	https://www.miamidade.gov/resources/images/departments/animals/2019-01-16-logo-florida-animal-friend.png	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/departments/animals/2019-01-16-logo-florida-animal-friend.png	(from https://www.miamidade.gov/global/animals/about.page)
11:03:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Nov%202023%2014:27:39%20GMT	https://www.miamidade.gov/global/animals/pet-preparedness.page	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/global/animals/pet-preparedness.page	(from https://www.miamidade.gov/global/animals/pet-safety.page)
